CCD,PDB,nuc_len,prot_len,split,json
5CM,275D,12,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/275D/5CM_275D.json
5CM,285D,24,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/285D/5CM_285D.json
5CM,297D,24,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/297D/5CM_297D.json
5CM,2C7O,25,327,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/2C7O/5CM_2C7O.json
5CM,2C7P,24,327,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/2C7P/5CM_2C7P.json
5CM,2C7Q,25,327,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/2C7Q/5CM_2C7Q.json
5CM,2C7R,24,327,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/2C7R/5CM_2C7R.json
5CM,2D25,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/2D25/5CM_2D25.json
5CM,2UYC,25,327,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/2UYC/5CM_2UYC.json
5CM,2UYH,25,327,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/2UYH/5CM_2UYH.json
5CM,2UZ4,25,327,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/2UZ4/5CM_2UZ4.json
5CM,2ZKD,24,210,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/2ZKD/5CM_2ZKD.json
5CM,2ZKE,24,210,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/2ZKE/5CM_2ZKE.json
5CM,2ZKF,22,209,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/2ZKF/5CM_2ZKF.json
5CM,2ZO0,26,209,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/2ZO0/5CM_2ZO0.json
5CM,2ZO1,21,206,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/2ZO1/5CM_2ZO1.json
5CM,313D,14,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/313D/5CM_313D.json
5CM,322D,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/322D/5CM_322D.json
5CM,323D,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/323D/5CM_323D.json
5CM,324D,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/324D/5CM_324D.json
5CM,325D,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/325D/5CM_325D.json
5CM,326D,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/326D/5CM_326D.json
5CM,327D,10,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/327D/5CM_327D.json
5CM,329D,24,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/329D/5CM_329D.json
5CM,337D,8,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/337D/5CM_337D.json
5CM,338D,8,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/338D/5CM_338D.json
5CM,339D,8,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/339D/5CM_339D.json
5CM,340D,8,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/340D/5CM_340D.json
5CM,341D,8,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/341D/5CM_341D.json
5CM,342D,8,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/342D/5CM_342D.json
5CM,343D,12,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/343D/5CM_343D.json
5CM,345D,8,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/345D/5CM_345D.json
5CM,346D,8,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/346D/5CM_346D.json
5CM,383D,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/383D/5CM_383D.json
5CM,384D,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/384D/5CM_384D.json
5CM,3C2I,40,70,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/3C2I/5CM_3C2I.json
5CM,3CLZ,24,210,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/3CLZ/5CM_3CLZ.json
5CM,3FDE,24,210,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/3FDE/5CM_3FDE.json
5CM,3SSC,24,308,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/3SSC/5CM_3SSC.json
5CM,3SSD,24,303,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/3SSD/5CM_3SSD.json
5CM,3VXV,28,65,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/3VXV/5CM_3VXV.json
5CM,3VXX,29,63,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/3VXX/5CM_3VXX.json
5CM,3VYQ,21,126,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/3VYQ/5CM_3VYQ.json
5CM,400D,12,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/400D/5CM_400D.json
5CM,4AQU,48,304,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4AQU/5CM_4AQU.json
5CM,4AQX,49,304,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4AQX/5CM_4AQX.json
5CM,4C63,24,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4C63/5CM_4C63.json
5CM,4F6N,37,120,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4F6N/5CM_4F6N.json
5CM,4GJU,24,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4GJU/5CM_4GJU.json
5CM,4GLG,24,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4GLG/5CM_4GLG.json
5CM,4GZN,22,59,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4GZN/5CM_4GZN.json
5CM,4HP1,24,51,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4HP1/5CM_4HP1.json
5CM,4LG7,28,63,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4LG7/5CM_4LG7.json
5CM,4LT5,28,265,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4LT5/5CM_4LT5.json
5CM,4M9E,20,85,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4M9E/5CM_4M9E.json
5CM,4MHT,25,327,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4MHT/5CM_4MHT.json
5CM,4MKW,24,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4MKW/5CM_4MKW.json
5CM,4R28,51,1794,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4R28/5CM_4R28.json
5CM,4R2A,22,86,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4R2A/5CM_4R2A.json
5CM,4R2E,22,88,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4R2E/5CM_4R2E.json
5CM,4R2S,22,89,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4R2S/5CM_4R2S.json
5CM,4U6L,18,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4U6L/5CM_4U6L.json
5CM,4U6M,18,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4U6M/5CM_4U6M.json
5CM,4X9J,22,86,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/4X9J/5CM_4X9J.json
5CM,5B2J,292,767,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5B2J/5CM_5B2J.json
5CM,5BT2,40,71,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5BT2/5CM_5BT2.json
5CM,5CG9,24,267,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5CG9/5CM_5CG9.json
5CM,5CPJ,292,746,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5CPJ/5CM_5CPJ.json
5CM,5CPK,290,750,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5CPK/5CM_5CPK.json
5CM,5DSA,20,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5DSA/5CM_5DSA.json
5CM,5EF6,36,62,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5EF6/5CM_5EF6.json
5CM,5EGO,36,120,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5EGO/5CM_5EGO.json
5CM,5EMC,36,142,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5EMC/5CM_5EMC.json
5CM,5EMP,36,143,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5EMP/5CM_5EMP.json
5CM,5J3E,24,171,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5J3E/5CM_5J3E.json
5CM,5KE7,20,87,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5KE7/5CM_5KE7.json
5CM,5KE8,20,85,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5KE8/5CM_5KE8.json
5CM,5LTY,36,71,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5LTY/5CM_5LTY.json
5CM,5LUX,34,63,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5LUX/5CM_5LUX.json
5CM,5MCV,20,400,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5MCV/5CM_5MCV.json
5CM,5MCW,20,398,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5MCW/5CM_5MCW.json
5CM,5MHT,24,327,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5MHT/5CM_5MHT.json
5CM,5SZX,36,124,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5SZX/5CM_5SZX.json
5CM,5T00,68,143,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5T00/5CM_5T00.json
5CM,5T01,37,124,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5T01/5CM_5T01.json
5CM,5VMU,35,121,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5VMU/5CM_5VMU.json
5CM,5VMV,36,116,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5VMV/5CM_5VMV.json
5CM,5VMW,36,121,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5VMW/5CM_5VMW.json
5CM,5VMX,36,122,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5VMX/5CM_5VMX.json
5CM,5VMY,36,121,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5VMY/5CM_5VMY.json
5CM,5VMZ,36,122,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/5VMZ/5CM_5VMZ.json
5CM,6C1A,24,136,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6C1A/5CM_6C1A.json
5CM,6C1T,24,134,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6C1T/5CM_6C1T.json
5CM,6C1U,24,138,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6C1U/5CM_6C1U.json
5CM,6C1Y,24,71,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6C1Y/5CM_6C1Y.json
5CM,6C2F,24,69,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6C2F/5CM_6C2F.json
5CM,6CC8,24,71,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6CC8/5CM_6CC8.json
5CM,6CCG,25,72,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6CCG/5CM_6CCG.json
5CM,6CEU,24,71,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6CEU/5CM_6CEU.json
5CM,6CEV,24,71,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6CEV/5CM_6CEV.json
5CM,6CNP,24,68,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6CNP/5CM_6CNP.json
5CM,6CNQ,24,68,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6CNQ/5CM_6CNQ.json
5CM,6D1T,24,69,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6D1T/5CM_6D1T.json
5CM,6E93,36,112,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6E93/5CM_6E93.json
5CM,6E94,36,111,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6E94/5CM_6E94.json
5CM,6JNM,24,89,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6JNM/5CM_6JNM.json
5CM,6JNN,24,89,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6JNN/5CM_6JNN.json
5CM,6JTQ,34,497,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6JTQ/5CM_6JTQ.json
5CM,6JV5,10,,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6JV5/5CM_6JV5.json
5CM,6JVZ,34,497,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6JVZ/5CM_6JVZ.json
5CM,6JW1,34,496,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6JW1/5CM_6JW1.json
5CM,6JW3,34,497,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6JW3/5CM_6JW3.json
5CM,6MG1,32,140,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6MG1/5CM_6MG1.json
5CM,6MG2,32,134,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6MG2/5CM_6MG2.json
5CM,6MG3,32,132,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6MG3/5CM_6MG3.json
5CM,6ML6,40,143,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6ML6/5CM_6ML6.json
5CM,6ML7,40,143,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6ML7/5CM_6ML7.json
5CM,6OGK,24,76,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6OGK/5CM_6OGK.json
5CM,6R64,20,145,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6R64/5CM_6R64.json
5CM,6T21,20,145,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6T21/5CM_6T21.json
5CM,6X6E,36,144,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6X6E/5CM_6X6E.json
5CM,6YKF,5,309,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6YKF/5CM_6YKF.json
5CM,6YMG,22,309,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/6YMG/5CM_6YMG.json
5CM,7FEF,24,48,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/7FEF/5CM_7FEF.json
5CM,7FHJ,24,214,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/7FHJ/5CM_7FHJ.json
5CM,7MWH,24,214,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/7MWH/5CM_7MWH.json
5CM,7MWK,24,68,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/7MWK/5CM_7MWK.json
5CM,7MWL,24,213,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/7MWL/5CM_7MWL.json
5CM,7MWM,24,74,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/7MWM/5CM_7MWM.json
5CM,7NX5,32,123,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/7NX5/5CM_7NX5.json
5CM,7RAY,24,74,pre,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/7RAY/5CM_7RAY.json
5CM,7YUN,24,183,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/7YUN/5CM_7YUN.json
5CM,8C56,28,388,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8C56/5CM_8C56.json
5CM,8ENG,32,93,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8ENG/5CM_8ENG.json
5CM,8EO1,32,91,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8EO1/5CM_8EO1.json
5CM,8EO4,32,95,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8EO4/5CM_8EO4.json
5CM,8HTX,24,117,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8HTX/5CM_8HTX.json
5CM,8IK4,22,310,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8IK4/5CM_8IK4.json
5CM,8RPX,18,325,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8RPX/5CM_8RPX.json
5CM,8TLJ,32,104,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8TLJ/5CM_8TLJ.json
5CM,8TLK,32,105,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8TLK/5CM_8TLK.json
5CM,8XPA,14,,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8XPA/5CM_8XPA.json
5CM,8YV8,264,861,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/8YV8/5CM_8YV8.json
5CM,9K7R,18,,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/9K7R/5CM_9K7R.json
5CM,9K8Z,18,,post,/Users/amcshan3/Desktop/Manuscripts/MODNAP_v2026/Fu-et-al_MODNAP_2026/MODNAP/MODNAP/5CM/9K8Z/5CM_9K8Z.json
